ASSEMBLY_NAME,ASSEMBLY_ACC,STUDY_ID,SAMPLE_ID,CONTIG_ACC,SCAFFOLD_ACC,CHROMOSOME_ACC
UC_ERR719414,ERZ1739875,PRJEB41812,ERS634920,ERZ1739875.1-ERZ1739875.623,,
UC_ERR1022501,ERZ1739876,PRJEB41812,ERS853148,ERZ1739876.1-ERZ1739876.2040,,
UC_ERR695620,ERZ1739877,PRJEB41812,ERS625328,ERZ1739877.1-ERZ1739877.6266,,
UC_ERR2036072,ERZ1739878,PRJEB41812,ERS1825755,ERZ1739878.1-ERZ1739878.137,,
UC_ERR1549321,ERZ1739879,PRJEB41812,ERS1268584,ERZ1739879.1-ERZ1739879.2,,
UC_ERR1913301,ERZ1739880,PRJEB41812,ERS1647306,ERZ1739880.1-ERZ1739880.156,,
UC_ERR726369,ERZ1739881,PRJEB41812,ERS638280,ERZ1739881.1-ERZ1739881.837,,
UC_ERR1913264,ERZ1739882,PRJEB41812,ERS1647279,ERZ1739882.1-ERZ1739882.26,,
UC_ERR1913238,ERZ1739883,PRJEB41812,ERS1647311,ERZ1739883.1-ERZ1739883.296,,
UC_ERR1823601,ERZ1739884,PRJEB41812,ERS1546045,ERZ1739884.1-ERZ1739884.320,,
UC_ERR1297772,ERZ1739885,PRJEB41812,ERS1069652,ERZ1739885.1-ERZ1739885.1865,,
UC_ERR1297847,ERZ1739886,PRJEB41812,ERS1069686,ERZ1739886.1-ERZ1739886.558,,
UC_ERR2014377,ERZ1739887,PRJEB41812,ERS1796502,ERZ1739887.1-ERZ1739887.34,,
UC_ERR1474579,ERZ1739888,PRJEB41812,ERS1202877,ERZ1739888.1-ERZ1739888.5873,,
UC_ERR1600429,ERZ1739889,PRJEB41812,ERS1324489,ERZ1739889.1-ERZ1739889.7,,
UC_ERR695635,ERZ1739890,PRJEB41812,ERS625343,ERZ1739890.1-ERZ1739890.1759,,
UC_ERR1659112,ERZ1739891,PRJEB41812,ERS1240061,ERZ1739891.1-ERZ1739891.651,,
